point_id,problem_id
1,HumanEval/0
2,HumanEval/1
3,HumanEval/10
4,HumanEval/11
5,HumanEval/12
6,HumanEval/13
7,HumanEval/14
8,HumanEval/15
9,HumanEval/16
10,HumanEval/17
11,HumanEval/18
12,HumanEval/19
13,HumanEval/2
14,HumanEval/20
15,HumanEval/21
16,HumanEval/22
17,HumanEval/23
18,HumanEval/24
19,HumanEval/25
20,HumanEval/26
21,HumanEval/27
22,HumanEval/28
23,HumanEval/29
24,HumanEval/3
25,HumanEval/30
26,HumanEval/31
27,HumanEval/32
28,HumanEval/33
29,HumanEval/34
30,HumanEval/35
31,HumanEval/36
32,HumanEval/37
33,HumanEval/38
34,HumanEval/39
35,HumanEval/4
36,HumanEval/40
37,HumanEval/41
38,HumanEval/42
39,HumanEval/43
40,HumanEval/44
41,HumanEval/45
42,HumanEval/46
43,HumanEval/47
44,HumanEval/48
45,HumanEval/49
46,HumanEval/5
47,HumanEval/6
48,HumanEval/7
49,HumanEval/8
50,HumanEval/9
